Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE 3.0.1,CD-LINKS_NPi,R5REF,Emissions|CO2,Mt CO2/yr,2471.631066,2741.35363,3026.071478,3147.644898,3063.416692,3150.764552,3217.718257,3176.704249,3175.225073,3157.660029
IMAGE 3.0.1,CD-LINKS_NPi,R5REF,Primary Energy,EJ/yr,39.68252393,41.89975635,46.98651611,49.15312549,49.41112793,49.76034521,49.61777539,49.69596777,49.26375732,47.44931104
IMAGE 3.0.1,CD-LINKS_NPi,R5REF,Primary Energy|Biomass,EJ/yr,0.710661749,1.309958973,1.940722578,2.193275864,2.665701042,3.115809486,3.067478455,2.568742542,2.086962605,1.917642111
IMAGE 3.0.1,CD-LINKS_NPi,R5REF,Primary Energy|Fossil,EJ/yr,37.15763293,38.55977917,42.58602759,44.49920795,44.57041626,44.06619977,43.46074896,43.76598083,43.58691235,41.0749209
IMAGE 3.0.1,CD-LINKS_NPi,R5REF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.8726436,1.057712305,1.384861282,1.649255701,1.806851344,2.225154562,2.799346655,3.148076971,3.404863552,4.290342503
IMAGE 3.0.1,CD-LINKS_NPi,World,AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED,°C,0.892216835,1.150659683,1.454152879,1.734127202,1.980531133,2.240414065,2.523317206,2.834375031,3.174227212,3.549747859
IMAGE 3.0.1,CD-LINKS_NPi,World,Emissions|CO2,Mt CO2/yr,35161.04525,39922.77767,43899.46029,47276.78972,49334.01172,51791.04362,55008.39681000001,59234.01172,62673.41667000001,66110.10742999999
IMAGE 3.0.1,CD-LINKS_NPi,World,Primary Energy,EJ/yr,506.8311875,580.7345,654.9453125,726.745875,797.196625,860.018375,935.3951875,1004.262,1061.501,1110.47
IMAGE 3.0.1,CD-LINKS_NPi,World,Primary Energy|Biomass,EJ/yr,53.08075098,63.93454102,74.50501953,83.23782031,87.59387109,91.13379102,101.9145801,110.2470039,115.1160332,124.8450801
IMAGE 3.0.1,CD-LINKS_NPi,World,Primary Energy|Fossil,EJ/yr,430.0902031000001,482.6594063,533.5652968999999,587.6136094,644.7602031,692.0077968999999,741.0092969,787.0092812999999,823.416,852.7450938
IMAGE 3.0.1,CD-LINKS_NPi,World,Primary Energy|Non-Biomass Renewables,EJ/yr,13.984733,23.11689294,34.08751565,44.70545203,56.14317926,66.42685645,80.63176448,95.62950707,112.6702216,125.2400307
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5ASIA,Emissions|CO2,Mt CO2/yr,14149.85924,16982.24961,13904.96649,8164.221982999999,3490.473741,1269.008658,328.2797796,-654.0733372999999,-715.6604156000001,-1344.465068
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5ASIA,Primary Energy,EJ/yr,183.5164521,236.9761948,212.7508379,195.5359858,207.8096772,209.286627,210.4023687,219.1173853,228.4637139,226.9904785
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5ASIA,Primary Energy|Biomass,EJ/yr,26.88402467,31.46895709,29.2512305,49.8426051,60.3394019,58.63544492,54.58267007,56.02459875,63.30705124,58.72870067
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5ASIA,Primary Energy|Fossil,EJ/yr,151.8000366,194.7068553,159.9769886,119.741592,103.0396035,88.96893213,82.84391327,81.65553613,75.96127335,69.28828679
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,3.844789634,8.374576964,13.53578902,13.63066216,19.99172335,28.15526418,32.25334352,33.56781884,38.88258298,45.42495056
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5LAM,Emissions|CO2,Mt CO2/yr,2561.531845,2491.160922,2182.349341,2655.182851,2370.929688,508.2184856000001,203.6883941,289.254187,174.6095992,186.9332058
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5LAM,Primary Energy,EJ/yr,30.08248047,39.95724316,37.0817041,36.82800513,38.32160107,41.1065415,43.56115869,48.1199624,51.21124707,51.87508203
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5LAM,Primary Energy|Biomass,EJ/yr,4.721644783,6.252075362999999,5.737667831,8.918948013,9.220436264,8.479040375,8.381955765,8.824118408,10.22833076,9.528605515
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5LAM,Primary Energy|Fossil,EJ/yr,22.61900281,30.02376938,25.93820508,21.78197711,18.88066745,19.07042468,18.60142908,20.67088373,20.17397253,20.51525958
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5LAM,Primary Energy|Non-Biomass Renewables,EJ/yr,2.672693616,3.525433782,4.735826685,5.322876143,8.79137842,12.28961095,14.98548923,16.70350897,19.12778455,20.2208657
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5MAF,Emissions|CO2,Mt CO2/yr,3650.390756,5527.425644,4367.925367,2382.238665,1831.037757,1398.654942,962.7611551000001,709.3967428999999,502.8278359,239.1302047
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5MAF,Primary Energy,EJ/yr,50.49445947,62.34486011,59.93778345,58.79839989999999,69.02282031,84.62682178,101.2141064,121.4485156,143.4076289,161.5188574
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5MAF,Primary Energy|Biomass,EJ/yr,9.958373137,12.0328178,12.60227161,16.92103832,20.52472971,21.85766279,23.76240652,27.72732196,34.96366438,33.98414194
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5MAF,Primary Energy|Fossil,EJ/yr,40.01369868,49.37814572,44.69505220000001,37.97495934,40.75470111,49.02107605,55.11062662,59.57774899,59.942735,65.3364958
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5MAF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.4896108,0.814951333,1.672977239,2.608697503,5.750588258,10.98473248,17.96275677,26.12561747,36.89990208,47.51130004
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,11601.95416,11024.24324,7036.936029,3521.81515,1869.792304,961.4086592,-51.226415,-702.9737723999999,-791.2509008,-683.3897916
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Primary Energy,EJ/yr,203.0543198,197.9370898,164.4060864,148.4246553,138.4260337,133.3319478,141.2937295,153.8790947,156.879248,152.5736431
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Primary Energy|Biomass,EJ/yr,10.80513807,13.37770119,22.53088204,49.61809581,48.21728721,43.08432717,46.15785547,47.67309758,47.86551653,42.45509582
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Primary Energy|Fossil,EJ/yr,178.4998275,167.2833267,121.7788038,80.13009235,59.30716652,51.16280174,57.93150812,73.51325754,71.00109814,64.3028056
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Primary Energy|Non-Biomass Renewables,EJ/yr,6.104995592000001,9.478270803,12.33961926,14.16814316,29.68400655,37.61343827,35.45570754,30.67950868,35.46862536,42.80349448
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5REF,Emissions|CO2,Mt CO2/yr,2496.854953,2734.466517,2069.982242,1336.515638,662.2656855,-294.6872966,-1038.673448,-1745.07136,-1957.21153,-1621.996971
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5REF,Primary Energy,EJ/yr,39.68249609,41.87075342,37.766271,33.43869971,34.74652929999999,36.61387207,39.03133789,42.10210693,43.51101123,42.02780371
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5REF,Primary Energy|Biomass,EJ/yr,0.7106346640000001,1.661655027,4.679540207,7.634414001000001,12.59094726,19.2982688,23.34539821,28.24794666,29.98224973,26.86800405
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5REF,Primary Energy|Fossil,EJ/yr,37.15763293,38.15395642,30.32186133,23.35459286,19.88312814,14.82181781,13.08022943,11.23272188,11.04719008,12.37070082
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,R5REF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.8726436,1.064546933,1.47315952,1.417482456,1.65667956,1.781555028,1.941043118,1.940299478,1.824170697,2.081197342
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED,°C,0.892219775,1.155142989,1.475355267,1.658251179,1.729638681,1.762864741,1.746732678,1.73383803,1.728280947,1.715825218
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,Emissions|CO2,Mt CO2/yr,35037.74642,39396.42839,30087.45638,18357.99203,10528.94344,4138.596029,699.4768118,-1799.597382,-2483.902588,-2935.932719
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,Primary Energy,EJ/yr,506.8303125,579.086125,511.9426875,473.0256875,488.3266875,504.9658125,535.5026875,584.667125,623.472875,634.985875
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,Primary Energy|Biomass,EJ/yr,53.07981055,64.79319922,74.80159961,132.935082,150.892791,151.3547969,156.2302734,168.4971172,186.3467832,171.5645166
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,Primary Energy|Fossil,EJ/yr,430.0902031000001,479.5461094,382.7109922,282.9832578,241.8652266,223.0450469,227.5677227,246.6500938,238.1263223,231.8134961
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,Primary Energy|Non-Biomass Renewables,EJ/yr,13.984733,23.25778326,33.75737043,37.14785677,65.874368,90.82459443,102.5983276,109.0167526,132.2030597,158.0418109
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5ASIA,Emissions|CO2,Mt CO2/yr,14273.09516,17173.00778,15208.56843,10738.0771,5595.737564999999,3974.641182,2966.878632,1580.521879,95.75870076,-663.1050832000001
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5ASIA,Primary Energy,EJ/yr,183.5164521,237.1450405,229.1171523,213.7069541,231.8993052,232.6176362,229.7899194,232.8308428,231.0393535,230.0759756
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5ASIA,Primary Energy|Biomass,EJ/yr,26.88402454,30.79308826,28.32988269,40.82486659,55.54252184,55.82381631,55.00452294,56.72574503,57.07556895,58.08146297
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5ASIA,Primary Energy|Fossil,EJ/yr,151.8000366,195.6932992,177.7880181,146.818558,131.6939467,118.852408,111.8610385,105.7485028,88.64377094,78.65233937
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,3.844789634,8.345363408999999,13.74775595,14.14824383,21.58734014,28.14385667,28.2614333,28.40146996,41.90111448,48.57914391
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5LAM,Emissions|CO2,Mt CO2/yr,2569.867951,2522.755766,2396.923026,2745.012394,2502.912847,1433.039592,1241.057944,954.8731134,433.6542276000001,309.0038893
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5LAM,Primary Energy,EJ/yr,30.08241577,40.11699707,40.38475098,40.59589014,44.23280908,47.78939258,48.21115234,49.00895654,51.31491846,53.75573047
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5LAM,Primary Energy|Biomass,EJ/yr,4.721579063,6.401082336,6.02831041,8.414007584,9.246024162000001,7.941003853,8.712140007,9.481040008999999,8.859648482999999,9.569682159
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5LAM,Primary Energy|Fossil,EJ/yr,22.61900281,30.04483643,28.99686142,25.88993996,25.46406511,28.19790866,25.29098511,22.19686151,22.90615469,23.76945529
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5LAM,Primary Energy|Non-Biomass Renewables,EJ/yr,2.672693616,3.524362656,4.798367735,5.557797164,8.30117693,10.65041077,13.00066122,16.09641375,18.57743273,19.5949492
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5MAF,Emissions|CO2,Mt CO2/yr,3716.524474,5678.55169,5678.043114,4052.808892,3619.742372,2876.507511,2679.979163,2214.817533,1574.723121,1085.088623
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5MAF,Primary Energy,EJ/yr,50.49445947,62.38249536,63.91066089,64.88657178,78.36170068,95.4299375,109.3659492,124.9063682,143.3960825,165.1163447
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5MAF,Primary Energy|Biomass,EJ/yr,9.958373714,12.0481495,12.94304285,15.65210793,18.14572768,17.51997749,19.12473215,23.24143765,24.8789485,29.70976911
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5MAF,Primary Energy|Fossil,EJ/yr,40.01369868,49.41629286,48.38074467,45.45472664,53.04432611,65.98514423,71.97388434,71.35344324,72.99702621,77.35079855
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5MAF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.4896108,0.8157448709999999,1.774798146,2.702179454,5.642215602999999,9.940101946,15.42289787,25.08665367,36.32231234,45.76368768
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,11552.77384,10963.02106,7563.066525,4723.953058,2932.131418,2207.2842,939.2800457999999,-195.6282687,-891.8442864,-1065.898151
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Primary Energy,EJ/yr,203.0553135,198.0596992,173.4242158,155.911417,153.5309175,149.1335195,150.3068271,156.2179434,156.8340396,157.0218374
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Primary Energy|Biomass,EJ/yr,10.80612131,13.64007472,23.6382788,40.14768465,48.28149627,44.62234206,50.45011022,53.38367469,51.78075035,51.58721060000001
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Primary Energy|Fossil,EJ/yr,178.4998275,167.1410225,129.3568558,96.33308138,76.86301252,70.76182503,67.60509097,72.06976788,66.30607944,63.96604565
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Primary Energy|Non-Biomass Renewables,EJ/yr,6.104995592000001,9.478442456,12.67435195,14.73275187,26.73975762,32.75324036,31.24437748,29.41376033,37.02520568,39.95931025
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5REF,Emissions|CO2,Mt CO2/yr,2471.631066,2720.00191,2219.50689,1593.269067,1199.655123,605.2115637999999,-139.9695737,-998.6542728000001,-1314.332097,-1302.269194
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5REF,Primary Energy,EJ/yr,39.68252393,41.87274463,40.26109668,35.79862109,36.76804102,36.81681348,36.46616357,38.26609473,39.47945898,39.43552832
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5REF,Primary Energy|Biomass,EJ/yr,0.710661749,1.53642318,4.305238167,6.023371612999999,8.229345375,11.59683343,15.93731021,22.06080709,23.10405921,22.94751998
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5REF,Primary Energy|Fossil,EJ/yr,37.15763293,38.28741748,33.28431873,27.38308453,26.42489258,22.52676843,17.50613547,13.02029544,12.51818486,12.61756058
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,R5REF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.8726436,1.064316729,1.461876651,1.455860113,1.577970908,1.972163362,2.336689015,2.548740983,3.236071205,3.254158333
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,World,AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED,°C,0.892220193,1.153991935,1.47347506,1.676137836,1.787025419,1.854980333,1.881162462,1.891140025,1.905066236,1.903968125
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,World,Emissions|CO2,Mt CO2/yr,35161.04525,39694.56348,33650.76172,24293.52149,16377.43522,11557.77376,8004.102376999999,3864.824219,198.3931389,-1344.99528
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,World,Primary Energy,EJ/yr,506.8311875,579.576875,547.097875,510.8995,544.7928125,561.7873125,574.14,601.2301875,622.0638125,645.405375
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,World,Primary Energy|Biomass,EJ/yr,53.08075098,64.41882031,75.24474023,111.0620371,139.4451602,137.5039512,149.2287676,164.8927246,165.6989844,171.8956436
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,World,Primary Energy|Fossil,EJ/yr,430.0902031000001,480.5829063,417.8067968999999,341.8793593999999,313.4903047,306.3241328,294.2370742,284.3888358999999,263.3711563,256.3562227
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,World,Primary Energy|Non-Biomass Renewables,EJ/yr,13.984733,23.22823098,34.45715091,38.59683123,63.84845133,83.45977574,90.26606746,101.5470362,137.0621297,157.1512561
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5ASIA,Emissions|CO2,Mt CO2/yr,14325.42116,16766.86112,11512.14467,3384.513566,-487.9910794,-3861.019834,-4608.836139999999,-4684.638627,-4268.973822,-4731.673984
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5ASIA,Primary Energy,EJ/yr,182.4980537,236.3535928,189.6753813,194.3608789,209.2329531,218.3166987,226.6896147,235.3354775,242.5976687,245.3541963
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5ASIA,Primary Energy|Biomass,EJ/yr,24.80803958,30.81929195,27.99950606,54.89569014,84.41139636,90.0946169,89.68111626,88.09587512,86.14497606,89.54339783
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5ASIA,Primary Energy|Fossil,EJ/yr,152.8576176,193.4267959,141.548509,113.1333107,84.93189978,70.19009332,67.07389664,69.82370523,72.87538354,67.5064402
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,3.844789634,8.573746111,10.99078728,13.44300082,15.9446531,21.63612674,24.82840859,26.36387894,29.6948079,34.6007633
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5LAM,Emissions|CO2,Mt CO2/yr,2607.68129,2355.853475,1562.218886,811.6125944,103.0936048,-590.3402466,-423.4607379,-111.2365055,34.85006905,-144.8782463
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5LAM,Primary Energy,EJ/yr,30.01840552,39.51860938,31.84316577,34.1249541,37.56910498,40.20958984,43.82596289,48.16284619,51.28634863,52.38654589999999
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5LAM,Primary Energy|Biomass,EJ/yr,4.68722591,6.149569977000001,4.66349762,7.446582367,11.0742558,10.06563676,9.753641342,10.17011023,10.76836391,10.68679543
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5LAM,Primary Energy|Fossil,EJ/yr,22.58934281,29.61226636,22.12644781,20.70460326,17.22127081,16.23472354,17.06096423,18.91224699,20.05203252,19.58890727
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5LAM,Primary Energy|Non-Biomass Renewables,EJ/yr,2.672693616,3.52043387,4.208935359,4.973199491,7.184346086000001,11.40462598,14.4575999,16.30379798,17.65964326,19.74339579
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5MAF,Emissions|CO2,Mt CO2/yr,3710.89996,4982.187035,3290.538693,1061.814524,916.4274275,-333.2861233,-474.5836893999999,-192.6020543,-135.4548022,-170.426116
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5MAF,Primary Energy,EJ/yr,50.44435474,62.21580542,52.26656592,56.89024072,68.31214063,84.54994678,102.0874517,122.5692617,142.0530483,160.7552988
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5MAF,Primary Energy|Biomass,EJ/yr,9.868138092,11.84223598,11.83740116,20.81477109,27.5718495,29.57205931,29.86458679,32.10241301,34.31173016,33.30806989
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5MAF,Primary Energy|Fossil,EJ/yr,40.05383305,49.31672926,37.75938117,32.04463957,33.68664809,40.73877728,47.21986179,54.27120925,57.92941924,64.54741225
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5MAF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.4896108,0.802836117,1.38022605,2.269725495,4.157039118,8.929899507,17.70210535,26.68082429,36.00693896,47.1750553
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,11534.85889,10948.78354,6049.283883,1433.208865,-714.6906925,-1516.932425,-2550.472105,-3238.905634,-3554.707113,-3684.006344
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5OECD90+EU,Primary Energy,EJ/yr,202.9509609,197.320543,143.4499365,134.9387617,139.6332905,133.5942988,144.8526196,159.6633628,169.555394,170.2672974
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5OECD90+EU,Primary Energy|Biomass,EJ/yr,10.66885403,12.21294512,12.91220634,36.53816745,57.52427535,53.22282061,61.11678861,68.41931162,71.93002756,71.89438326
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5OECD90+EU,Primary Energy|Fossil,EJ/yr,178.5327454,167.841399,111.9822321,80.08896812,54.24304770000001,39.97910876,44.49344592,59.68853534,70.31321675,68.09850044
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5OECD90+EU,Primary Energy|Non-Biomass Renewables,EJ/yr,6.104995592000001,9.422754696,10.65223081,13.95175885,26.87134878,39.01233043,36.58761018,27.96982535,22.65202581,25.54625033
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5REF,Emissions|CO2,Mt CO2/yr,2478.49952,2655.948932,1857.373384,891.3231119,14.0508337,-987.1926735,-1507.213389,-2098.838135,-2157.503823,-1993.022497
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5REF,Primary Energy,EJ/yr,39.68172949,41.83118408,33.85356055,32.45498145,33.96538965,38.75114893,42.27507031,44.09897461,44.58225146,42.79360889
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5REF,Primary Energy|Biomass,EJ/yr,0.704906258,2.658424263,5.379849617000001,8.867231369,14.66569483,24.48001547,29.13460579,31.00458673,30.20491029,27.83841872
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5REF,Primary Energy|Fossil,EJ/yr,37.16259833,37.0407113,25.6896192,20.89005881,17.00619664,12.30486667,11.29044888,11.49418408,12.78575017,13.16721978
IMAGE 3.0.1,CD-LINKS_NPi2020_400,R5REF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.8726436,1.071052573,1.298114168,1.462364289,1.562420873,1.692189189,1.696507437,1.546653399,1.618537903,1.818501457
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED,°C,0.892228681,1.158577847,1.462769681,1.60706349,1.612800001,1.581553266,1.523671939,1.46541424,1.407695365,1.362488445
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Emissions|CO2,Mt CO2/yr,35234.37142,38346.40463,24564.95866,7860.049643,127.7481359,-6989.884115000001,-9254.937908,-10007.7522,-9765.250001,-10419.6766
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Primary Energy,EJ/yr,505.5935,577.2396875,451.0885938,452.7698125,488.7129063,515.4216875,559.7306875,609.829875,650.0748125,671.556875
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Primary Energy|Biomass,EJ/yr,50.73716797,63.68246094,62.79246094,128.5624375,195.2474668,207.4351895,219.5507539,229.7922637,233.3600137,233.2710869
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Primary Energy|Fossil,EJ/yr,431.1961016,477.2379063,339.1062109,266.8615508,207.0890039,179.4475391,187.1386484,214.1898613,233.9557852,232.908498
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Primary Energy|Non-Biomass Renewables,EJ/yr,13.984733,23.39082101,28.53029629,36.1000423,55.71980467,82.67517875,95.27223117,98.86497715,107.6319544,128.8839675
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5ASIA,Emissions|CO2,Mt CO2/yr,14275.26357,18107.37668,21957.27603,24039.11549,25703.57067,27460.88624,28292.96171,28402.19073,28764.77565,29606.27106
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5ASIA,Primary Energy,EJ/yr,183.5174829,243.4805107,295.5244473,339.735125,381.4236143,408.5222343999999,424.8995879,435.4964531000001,445.1634053,456.6646821000001
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5ASIA,Primary Energy|Biomass,EJ/yr,26.88400968,29.82405493,27.40763,35.51247263,39.62617542,33.07721945,35.27049496,40.79002957,45.48596,48.43221176
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5ASIA,Primary Energy|Fossil,EJ/yr,151.8010576,204.4634929,254.030991,285.0125901,318.1014827,347.5118762,355.6937148,354.5714253,356.1791696,364.141361
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,3.844789634,7.619614933999999,11.20915488,14.61762441,17.4881434,19.95883661,24.99723724,30.95855373,35.39336884,37.75813701
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5LAM,Emissions|CO2,Mt CO2/yr,2572.621727,2786.467685,3221.712616,4282.350079999999,4888.62219,4583.723857,4728.687999,5269.639776,5257.797577,5447.165446
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5LAM,Primary Energy,EJ/yr,30.08611646,41.074104,49.21916504,57.14141602,66.51319434,76.51416113,84.59328027,89.23842969,91.91586133,93.08582031
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5LAM,Primary Energy|Biomass,EJ/yr,4.73045842,5.562258034,5.576634583,6.523031006,7.055994606000001,7.137883934,8.622050507,9.120970924,9.596610161000001,9.668010132000001
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5LAM,Primary Energy|Fossil,EJ/yr,22.61382325,31.82678387,38.1472655,42.91970239,50.15806079,58.88947534,64.25629956,66.64025391,67.6598855,68.37747522
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5LAM,Primary Energy|Non-Biomass Renewables,EJ/yr,2.672693616,3.581566079,5.207107261,7.190556627,8.733029245,9.919269586,11.16485929,12.94881588,14.42705812,15.14756595
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5MAF,Emissions|CO2,Mt CO2/yr,3679.149215,5725.558215,7607.511892,7969.578833,8062.458192,8256.189235,10388.66564,13394.42722,16584.35974,19973.11634
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5MAF,Primary Energy,EJ/yr,50.49337036,62.47731494,76.43120117,94.05757715,116.1167891,149.6171787,188.5444893,233.0126172,280.2764551,326.514877
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5MAF,Primary Energy|Biomass,EJ/yr,9.954851772,12.03010431,13.5271693,15.15957624,16.43711098,18.10309196,21.29223242,24.05520849,26.24219888,28.47984541
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5MAF,Primary Energy|Fossil,EJ/yr,40.01613311,49.56994945,60.93741891,75.34957047,93.91563977,121.7709718,152.0434114,186.7804995,224.0162052,260.0005048
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5MAF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.4896108,0.815777793,1.727170043,3.034162807,5.290110123,8.969125395,14.19807727,21.25124467,29.60248107,38.43941204
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,11533.29769,11677.59366,10978.22419,11264.54047,11917.18159,12597.93754,12794.81582,12937.43084,13083.6818,13458.90641
IMAGE 3.0.1,CD-LINKS_NoPolicy,R5OECD90+EU,Primary Energy,EJ/yr,202.9502476,205.9984482,209.977124,216.4342129,218.7900269,225.7851963,231.4337402,232.6681514,232.3820098,234.2887432
