Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,R5MAF,Emissions|CO2,Mt CO2/yr,,3339.383,5297.6902,3158.2234,1222.1223,-473.6514,-2566.6801,-3460.6495,-3763.3399,-3657.851,-3389.6015
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,,13494.1172,12228.4714,7508.1214,3568.4867,272.2153,-1799.7195,-3026.4789,-3613.4761,-4060.6871,-4572.1765
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,R5REF,Emissions|CO2,Mt CO2/yr,,1438.9057,1687.3132,901.7263,374.1632,238.2976,67.0605,-132.8028,-278.5019,-475.0203,-635.7881
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,World,Emissions|CO2,Mt CO2/yr,,36445.8913,41856.0778,24570.5493,10060.4881,94.5885,-7360.4691,-11298.7437,-13138.914,-14203.1937,-15378.92
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,R5ASIA,Emissions|CO2,Mt CO2/yr,,12144.61527,16565.4709,6590.404786,3607.501953,1943.706455,515.6910996,-391.650052,-1458.209074,-2451.018245,-3091.639939
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,R5LAM,Emissions|CO2,Mt CO2/yr,,2707.832349,2909.68088,702.3546708,-128.9157318,-974.4207503,-1695.136368,-2775.455386,-4846.372098,-5513.21781,-2876.75914
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,R5MAF,Emissions|CO2,Mt CO2/yr,,4119.074481,4753.089205,2843.294183,1942.086961,1141.380428,602.9680249,335.9014811,-352.2958812,-1566.602079,-2545.867781
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,,8626.748762,8711.56449,2899.458385,1058.541292,-208.7795663,-1425.091761,-2082.099821,-2683.419332,-3163.921388,-3478.000458
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,R5REF,Emissions|CO2,Mt CO2/yr,,2556.028086,2942.395626,730.5717337,146.6306935,-180.1134318,-440.0181246,-631.7518475,-774.1645967,-953.4577224,-1046.629947
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,World,Emissions|CO2,Mt CO2/yr,,35674.1208,40656.52654,15430.84104,7508.62485,1743.386378,-2903.374517,-6157.606671,-10988.89363,-14723.04929,-14222.97141
