model,scenario,region,variable,unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 3.0,EMF27-450-Conv,LAM,Emissions|CO2,Mt CO2/yr,2553.32,2369.08,-3697.66,-3313.88,-1880.82,-1155.81,-927.70,-906.08,-1069.30,-1372.50,-2166.92
GCAM 3.0,EMF27-450-Conv,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1475.06,1644.90,1625.92,1445.98,1113.67,784.85,457.91,143.49,-219.17,-653.15,-1544.30
GCAM 3.0,EMF27-450-Conv,LAM,Primary Energy,EJ/yr,29.03,31.59,35.11,41.18,46.60,52.54,59.56,69.00,78.98,87.13,91.45
GCAM 3.0,EMF27-450-Conv,MAF,Emissions|CO2,Mt CO2/yr,3417.12,3686.46,-4784.45,-3667.70,-847.70,162.93,439.69,458.65,283.85,-48.21,-348.48
GCAM 3.0,EMF27-450-Conv,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2401.59,2805.56,3039.21,2854.74,2350.58,1875.85,1393.03,1019.21,688.85,257.41,-122.84
GCAM 3.0,EMF27-450-Conv,MAF,Primary Energy,EJ/yr,48.27,56.05,69.38,84.47,97.47,111.44,125.78,138.61,147.25,153.87,158.31
GCAM 3.0,EMF27-450-Conv,OECD90,Emissions|CO2,Mt CO2/yr,11886.56,12386.37,8905.57,7105.95,3795.78,2284.64,1365.37,718.45,-118.15,-724.60,-1424.06
GCAM 3.0,EMF27-450-Conv,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12117.42,12399.31,11142.48,8756.15,5745.18,3846.77,2699.48,1730.14,791.65,-10.12,-752.44
GCAM 3.0,EMF27-450-Conv,OECD90,Primary Energy,EJ/yr,195.21,197.67,193.52,192.79,190.17,190.11,186.72,178.63,167.51,153.66,140.84
GCAM 3.0,EMF27-450-Conv,REF,Emissions|CO2,Mt CO2/yr,3037.14,3363.40,42.05,-360.90,-869.87,-949.20,-1054.32,-1111.13,-1183.24,-596.35,-718.26
GCAM 3.0,EMF27-450-Conv,REF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,3214.36,3567.49,3343.41,2776.01,1903.55,1306.06,821.52,422.91,106.47,-174.44,-404.36
GCAM 3.0,EMF27-450-Conv,REF,Primary Energy,EJ/yr,50.73,55.96,57.31,59.99,61.14,62.31,62.79,62.33,59.64,57.09,55.44
GCAM 3.0,EMF27-450-Conv,World,Emissions|CO2,Mt CO2/yr,31473.62,34700.97,12161.32,11121.98,6976.38,5488.54,3289.90,1023.41,-1751.60,-3619.36,-6129.59
GCAM 3.0,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,28674.11,32291.08,31795.02,26686.81,18712.83,13526.69,9352.92,5774.16,2413.99,-646.09,-3423.57
GCAM 3.0,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,11963.94,13919.58,13711.32,9098.15,1834.65,-1758.12,-3879.84,-4969.07,-5738.85,-6365.90,-6184.62
GCAM 3.0,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10184.51,11898.12,11992.37,8251.59,2198.30,-916.05,-2697.31,-3498.08,-4165.62,-4452.68,-3815.31
GCAM 3.0,EMF27-450-Conv,World,Price|Carbon,US$2005/t CO2,0.00,0.00,40.19,65.46,106.63,173.68,282.91,460.84,750.66,1222.74,1898.38
GCAM 3.0,EMF27-450-Conv,World,Primary Energy,EJ/yr,458.82,504.59,556.01,630.79,694.18,749.23,791.67,824.53,834.82,822.03,794.94
GCAM 3.0,EMF27-450-Conv,World,Primary Energy|Coal,EJ/yr,120.76,146.60,130.35,120.71,111.69,117.59,118.03,113.35,92.42,60.22,26.71
GCAM 3.0,EMF27-450-Conv,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.03,7.24,52.90,120.23,176.87,210.07,222.32,201.00,155.35,98.40
GCAM 3.0,EMF27-450-Conv,World,Temperature|Global Mean|MAGICC6|MED,°C,0.81,0.89,1.06,1.17,1.29,1.37,1.42,1.46,1.48,1.48,1.46
GCAM 3.0,EMF27-450-NoCCS,ASIA,Emissions|CO2,Mt CO2/yr,10579.48,12887.52,11543.89,12802.61,9395.33,6949.79,4323.91,2140.74,61.59,-1757.29,-3163.23
GCAM 3.0,EMF27-450-NoCCS,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9465.69,11865.65,12567.74,12405.13,9784.48,7174.16,4710.03,2525.89,513.34,-1233.89,-2554.00
GCAM 3.0,EMF27-450-NoCCS,ASIA,Primary Energy,EJ/yr,135.57,163.27,196.24,234.50,260.44,283.53,306.89,334.65,364.50,386.09,405.93
GCAM 3.0,EMF27-450-NoCCS,LAM,Emissions|CO2,Mt CO2/yr,2553.32,2368.14,-3909.28,-3251.88,-1694.26,-767.95,-580.60,-643.46,-803.99,-1078.48,-1291.50
GCAM 3.0,EMF27-450-NoCCS,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1475.06,1643.95,1610.45,1636.61,1312.13,1076.99,670.81,272.74,-85.49,-476.42,-758.29
GCAM 3.0,EMF27-450-NoCCS,LAM,Primary Energy,EJ/yr,29.03,31.58,34.62,39.81,44.20,47.37,51.53,59.97,70.44,81.38,92.22
GCAM 3.0,EMF27-450-NoCCS,MAF,Emissions|CO2,Mt CO2/yr,3417.12,3684.30,-4926.84,-3438.25,-181.13,850.19,739.71,311.15,-368.94,-1173.42,-2057.29
GCAM 3.0,EMF27-450-NoCCS,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2401.59,2803.40,3004.11,3134.95,2989.90,2493.84,1639.87,840.86,-20.27,-908.60,-1836.32
GCAM 3.0,EMF27-450-NoCCS,MAF,Primary Energy,EJ/yr,48.27,56.03,68.47,81.75,92.18,101.15,111.95,129.15,150.18,170.90,200.40
GCAM 3.0,EMF27-450-NoCCS,OECD90,Emissions|CO2,Mt CO2/yr,11886.56,12383.07,8595.39,7343.12,5217.96,3850.81,2538.33,1449.84,338.39,-504.21,-1237.98
GCAM 3.0,EMF27-450-NoCCS,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12117.42,12396.00,10914.33,9100.15,6998.40,5211.67,3674.33,2210.14,968.14,-92.06,-859.71
GCAM 3.0,EMF27-450-NoCCS,OECD90,Primary Energy,EJ/yr,195.21,197.64,190.45,185.64,175.74,168.23,161.23,154.96,147.64,141.14,139.78
GCAM 3.0,EMF27-450-NoCCS,REF,Emissions|CO2,Mt CO2/yr,3037.14,3362.26,-65.11,-346.35,-625.82,-539.91,-703.68,-790.95,-891.21,-319.48,-486.19
GCAM 3.0,EMF27-450-NoCCS,REF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,3214.36,3566.35,3290.17,2849.77,2141.27,1634.17,1063.04,592.99,247.72,-38.93,-271.59
GCAM 3.0,EMF27-450-NoCCS,REF,Primary Energy,EJ/yr,50.73,55.95,56.43,57.59,55.83,54.45,53.27,54.28,54.50,55.40,59.28
GCAM 3.0,EMF27-450-NoCCS,World,Emissions|CO2,Mt CO2/yr,31473.62,34685.29,11238.06,13109.25,12112.07,10342.93,6317.67,2467.32,-1664.16,-4832.87,-8236.19
GCAM 3.0,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,28674.11,32275.35,31386.80,29126.62,23226.18,17590.84,11758.08,6442.62,1623.44,-2749.90,-6279.90
GCAM 3.0,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,11963.94,13900.88,13392.88,10743.78,5826.34,2174.45,-1243.63,-3798.41,-5912.97,-7883.72,-9630.72
GCAM 3.0,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10184.51,11879.50,11691.33,9534.34,5465.51,3069.37,1386.22,892.57,654.31,400.35,218.61
GCAM 3.0,EMF27-450-NoCCS,World,Price|Carbon,US$2005/t CO2,0.00,0.00,45.30,73.80,120.21,195.80,318.94,519.52,846.25,1378.45,2140.14
GCAM 3.0,EMF27-450-NoCCS,World,Primary Energy,EJ/yr,458.82,504.45,546.22,599.28,628.39,654.74,684.87,733.00,787.27,834.91,897.61
GCAM 3.0,EMF27-450-NoCCS,World,Primary Energy|Coal,EJ/yr,120.76,146.48,120.21,86.45,38.15,16.54,9.28,6.82,6.08,4.77,0.01
GCAM 3.0,EMF27-450-NoCCS,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.03,0.06,0.09,0.11,0.13,0.13,0.10,0.09,0.05,0.00
GCAM 3.0,EMF27-450-NoCCS,World,Temperature|Global Mean|MAGICC6|MED,°C,0.81,0.89,1.07,1.17,1.30,1.40,1.47,1.52,1.53,1.52,1.49
GCAM 3.0,EMF27-550-LimBio,ASIA,Emissions|CO2,Mt CO2/yr,10579.48,12887.52,14115.35,17022.20,13967.14,9888.24,6897.94,5364.43,4181.83,3304.53,2651.28
GCAM 3.0,EMF27-550-LimBio,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9465.69,11865.65,14476.24,16389.26,14387.01,10322.91,7408.29,5996.96,4883.82,4051.53,3428.49
GCAM 3.0,EMF27-550-LimBio,ASIA,Primary Energy,EJ/yr,135.57,163.27,210.19,266.39,313.43,346.42,369.30,390.36,413.16,424.25,419.14
GCAM 3.0,EMF27-550-LimBio,LAM,Emissions|CO2,Mt CO2/yr,2553.32,2368.14,-2317.65,-2030.61,-1062.81,-630.26,-596.68,-536.67,-430.27,-384.31,-415.81
GCAM 3.0,EMF27-550-LimBio,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1475.06,1643.95,1784.07,1895.64,1704.41,1407.18,1043.31,763.76,565.92,388.55,201.05
GCAM 3.0,EMF27-550-LimBio,LAM,Primary Energy,EJ/yr,29.03,31.58,36.04,42.20,48.08,53.98,60.41,71.03,83.96,96.67,107.09
GCAM 3.0,EMF27-550-LimBio,MAF,Emissions|CO2,Mt CO2/yr,3417.12,3684.30,-3698.31,-2400.19,218.89,1117.70,1210.17,1294.55,1413.30,1560.36,1614.95
GCAM 3.0,EMF27-550-LimBio,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2401.59,2803.40,3327.90,3707.01,3440.87,2977.12,2341.77,2004.29,1911.85,1905.99,1863.85
GCAM 3.0,EMF27-550-LimBio,MAF,Primary Energy,EJ/yr,48.27,56.03,71.07,87.09,101.48,115.31,129.69,146.42,160.74,171.11,183.14
GCAM 3.0,EMF27-550-LimBio,OECD90,Emissions|CO2,Mt CO2/yr,11886.56,12383.07,10348.10,10015.95,7673.18,4855.63,3314.12,2517.07,1995.87,1803.63,1664.01
GCAM 3.0,EMF27-550-LimBio,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12117.42,12396.00,12096.87,11440.53,9239.03,6227.14,4577.64,3570.54,2928.20,2516.95,2288.52
GCAM 3.0,EMF27-550-LimBio,OECD90,Primary Energy,EJ/yr,195.21,197.64,199.79,203.64,200.78,196.24,193.24,191.36,187.41,182.16,185.30
GCAM 3.0,EMF27-550-LimBio,REF,Emissions|CO2,Mt CO2/yr,3037.14,3362.26,722.38,669.65,389.65,-61.06,-412.51,-541.34,-555.02,161.99,315.26
GCAM 3.0,EMF27-550-LimBio,REF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,3214.36,3566.35,3650.49,3595.26,3014.33,2134.77,1479.05,1049.18,779.63,678.47,685.16
GCAM 3.0,EMF27-550-LimBio,REF,Primary Energy,EJ/yr,50.73,55.95,59.79,63.84,65.65,65.95,65.09,65.97,66.08,65.62,70.16
GCAM 3.0,EMF27-550-LimBio,World,Emissions|CO2,Mt CO2/yr,31473.62,34685.29,19169.88,23277.01,21186.04,15170.25,10413.05,8098.03,6605.72,6446.21,5829.69
GCAM 3.0,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,28674.11,32275.35,35335.58,37027.69,31785.65,23069.12,16850.07,13384.73,11069.42,9541.48,8467.08
GCAM 3.0,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,11963.94,13900.88,15276.28,15787.23,11362.52,3908.63,-830.44,-3101.46,-4276.87,-4950.79,-5575.23
GCAM 3.0,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10184.51,11879.50,13178.67,13850.31,10187.61,3692.27,-362.46,-1943.61,-2747.55,-3178.70,-3119.35
GCAM 3.0,EMF27-550-LimBio,World,Price|Carbon,US$2005/t CO2,0.00,0.00,20.68,33.69,54.87,89.38,145.59,206.61,277.65,348.70,419.74
GCAM 3.0,EMF27-550-LimBio,World,Primary Energy,EJ/yr,458.82,504.45,576.89,663.16,729.41,777.90,817.73,865.14,911.34,939.80,964.83
GCAM 3.0,EMF27-550-LimBio,World,Primary Energy|Coal,EJ/yr,120.76,146.48,152.96,164.35,150.79,126.73,116.50,114.85,115.93,110.20,112.60
GCAM 3.0,EMF27-550-LimBio,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.03,2.14,18.30,59.09,116.61,156.88,176.26,188.95,183.44,179.97
GCAM 3.0,EMF27-550-LimBio,World,Temperature|Global Mean|MAGICC6|MED,°C,0.81,0.88,1.06,1.20,1.39,1.55,1.67,1.74,1.80,1.84,1.89
GCAM 3.0,EMF27-Base-FullTech,ASIA,Emissions|CO2,Mt CO2/yr,10579.48,12887.52,18632.25,24145.73,28659.06,32966.15,36148.01,38312.50,39483.38,39586.94,38153.80
GCAM 3.0,EMF27-Base-FullTech,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9465.69,11865.65,17225.08,22668.66,27726.77,32101.17,35709.04,38191.08,39579.64,39783.93,38475.88
GCAM 3.0,EMF27-Base-FullTech,ASIA,Primary Energy,EJ/yr,135.57,163.27,230.04,303.67,375.35,443.14,502.88,551.48,588.02,607.14,610.39
GCAM 3.0,EMF27-Base-FullTech,LAM,Emissions|CO2,Mt CO2/yr,2553.32,2368.14,2768.74,3156.74,3346.44,3740.06,3931.27,4388.97,5047.87,5700.86,6138.32
GCAM 3.0,EMF27-Base-FullTech,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1475.06,1643.95,1991.69,2376.85,2800.32,3277.30,3734.04,4354.02,5091.13,5798.76,6318.59
GCAM 3.0,EMF27-Base-FullTech,LAM,Primary Energy,EJ/yr,29.03,31.58,37.74,45.32,53.14,62.14,71.38,83.96,99.32,114.73,127.16
GCAM 3.0,EMF27-Base-FullTech,MAF,Emissions|CO2,Mt CO2/yr,3417.12,3684.30,4663.55,5564.81,6539.66,7810.02,8609.39,9748.36,11015.22,12119.42,13155.77
GCAM 3.0,EMF27-Base-FullTech,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2401.59,2803.40,3760.11,4710.85,5783.85,7107.99,8314.61,9690.33,11080.73,12271.07,13407.34
GCAM 3.0,EMF27-Base-FullTech,MAF,Primary Energy,EJ/yr,48.27,56.03,74.25,93.50,112.98,135.64,159.39,186.43,213.14,235.64,257.62
GCAM 3.0,EMF27-Base-FullTech,OECD90,Emissions|CO2,Mt CO2/yr,11886.56,12383.07,13174.50,13813.53,14049.70,14492.54,14758.92,14788.33,14765.86,14857.80,15033.27
GCAM 3.0,EMF27-Base-FullTech,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12117.42,12396.00,13009.45,13445.96,13856.23,14268.99,14583.64,14745.46,14820.50,14931.13,15140.38
GCAM 3.0,EMF27-Base-FullTech,OECD90,Primary Energy,EJ/yr,195.21,197.64,207.63,217.85,225.18,231.90,235.42,236.62,236.06,235.17,236.49
GCAM 3.0,EMF27-Base-FullTech,REF,Emissions|CO2,Mt CO2/yr,3037.14,3362.26,4079.43,4552.55,4713.51,4978.87,4934.01,4886.82,4935.51,4941.59,5108.01
GCAM 3.0,EMF27-Base-FullTech,REF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,3214.36,3566.35,4043.50,4377.68,4647.79,4875.71,4854.17,4837.98,4869.16,4933.64,5124.61
GCAM 3.0,EMF27-Base-FullTech,REF,Primary Energy,EJ/yr,50.73,55.95,63.44,69.68,74.87,79.63,80.62,81.41,82.38,84.12,87.93
GCAM 3.0,EMF27-Base-FullTech,World,Emissions|CO2,Mt CO2/yr,31473.62,34685.29,43318.48,51233.36,57308.36,63987.64,68381.59,72124.98,75247.84,77206.61,77589.17
GCAM 3.0,EMF27-Base-FullTech,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,28674.11,32275.35,40029.84,47579.99,54814.96,61631.16,67195.51,71818.87,75441.15,77718.53,78466.79
GCAM 3.0,EMF27-Base-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,11963.94,13900.88,17440.71,21676.38,26038.88,30539.69,33650.36,35996.28,37865.02,38911.09,38689.60
GCAM 3.0,EMF27-Base-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10184.51,11879.50,14769.66,18164.19,21284.54,24075.09,25735.44,26670.92,27601.09,28454.49,29074.67
GCAM 3.0,EMF27-Base-FullTech,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GCAM 3.0,EMF27-Base-FullTech,World,Primary Energy,EJ/yr,458.82,504.45,613.10,730.03,841.52,952.45,1049.69,1139.91,1218.93,1276.80,1319.59
GCAM 3.0,EMF27-Base-FullTech,World,Primary Energy|Coal,EJ/yr,120.76,146.48,192.62,243.82,296.82,352.59,400.30,437.52,463.42,475.25,464.06
GCAM 3.0,EMF27-Base-FullTech,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.03,0.05,0.09,0.12,0.16,0.20,0.25,0.27,0.29,0.29
GCAM 3.0,EMF27-Base-FullTech,World,Temperature|Global Mean|MAGICC6|MED,°C,0.81,0.87,1.11,1.41,1.77,2.15,2.55,2.96,3.36,3.76,4.16
IMAGE 2.4,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,34111.29,35344.27,36059.37,32234.66,19608.88,15150.28,6668.57,-677.70,-3156.89,-6273.64,-7112.29
IMAGE 2.4,AMPERE3-450,World,Price|Carbon,US$2005/t CO2,0.00,0.66,47.13,66.73,76.80,109.31,130.10,162.86,188.72,223.19,211.20
IMAGE 2.4,AMPERE3-450,World,Primary Energy,EJ/yr,441.25,473.91,544.13,577.42,638.17,685.99,751.05,763.70,778.29,821.22,863.04
IMAGE 2.4,AMPERE3-450,World,Primary Energy|Coal,EJ/yr,111.62,138.69,148.60,121.24,102.62,101.41,111.41,138.40,181.03,224.03,264.77
IMAGE 2.4,AMPERE3-450,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.84,18.09,64.24,118.63,167.20,212.15,270.53,309.41,347.80
IMAGE 2.4,AMPERE3-450,World,Temperature|Global Mean|MAGICC6|MED,°C,0.87,0.92,1.14,1.39,1.59,1.72,1.80,1.83,1.84,1.82,1.78
IMAGE 2.4,AMPERE3-450P-CE,World,Emissions|CO2,Mt CO2/yr,34111.14,35343.93,38844.85,40453.35,31255.38,21628.42,13883.06,5169.80,-2754.38,-6409.44,-8174.45
IMAGE 2.4,AMPERE3-450P-CE,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE 2.4,AMPERE3-450P-CE,World,Primary Energy,EJ/yr,441.25,473.91,580.13,654.46,676.13,695.56,750.32,766.26,792.33,837.14,879.08
IMAGE 2.4,AMPERE3-450P-CE,World,Primary Energy|Coal,EJ/yr,111.62,138.69,161.72,154.18,125.14,105.32,120.83,151.58,192.67,249.50,294.40
IMAGE 2.4,AMPERE3-450P-CE,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.57,4.51,22.20,67.16,145.10,210.40,267.38,333.57,374.04
IMAGE 2.4,AMPERE3-450P-CE,World,Temperature|Global Mean|MAGICC6|MED,°C,0.79,0.84,1.06,1.33,1.59,1.78,1.91,1.98,2.01,1.99,1.95
IMAGE 2.4,AMPERE3-450P-EU,World,Emissions|CO2,Mt CO2/yr,34111.14,35343.93,40612.22,46400.38,37347.97,25392.08,17060.16,7214.90,-2789.63,-6821.32,-7928.68
IMAGE 2.4,AMPERE3-450P-EU,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,0.00,0.00,108.28,128.76,161.29,186.78,221.30,209.21
IMAGE 2.4,AMPERE3-450P-EU,World,Primary Energy,EJ/yr,441.25,473.91,598.26,696.60,692.53,699.38,747.23,763.69,791.18,836.82,879.48
IMAGE 2.4,AMPERE3-450P-EU,World,Primary Energy|Coal,EJ/yr,111.62,138.69,173.83,193.98,153.90,122.29,131.70,153.42,187.40,249.47,300.00
IMAGE 2.4,AMPERE3-450P-EU,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.56,2.07,16.30,47.17,122.11,197.41,259.28,328.35,374.52
IMAGE 2.4,AMPERE3-450P-EU,World,Temperature|Global Mean|MAGICC6|MED,°C,0.80,0.85,1.07,1.35,1.65,1.87,2.02,2.11,2.15,2.13,2.09
IMAGE 2.4,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,34111.29,35318.50,37365.86,37226.82,32352.89,30493.37,22154.07,12673.92,7180.83,909.23,-2504.16
IMAGE 2.4,AMPERE3-550,World,Price|Carbon,US$2005/t CO2,0.00,0.72,21.68,35.25,38.77,40.03,47.03,73.74,110.20,110.20,96.36
IMAGE 2.4,AMPERE3-550,World,Primary Energy,EJ/yr,441.25,473.79,559.87,603.66,689.49,758.18,815.96,844.50,862.31,905.22,942.64
IMAGE 2.4,AMPERE3-550,World,Primary Energy|Coal,EJ/yr,111.62,138.64,156.04,137.59,123.93,116.23,113.90,137.33,187.18,256.33,322.07
IMAGE 2.4,AMPERE3-550,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.00,9.58,29.96,65.53,115.25,171.92,237.14,317.31,383.77
IMAGE 2.4,AMPERE3-550,World,Temperature|Global Mean|MAGICC6|MED,°C,0.76,0.82,1.03,1.29,1.54,1.75,1.94,2.07,2.16,2.18,2.19
IMAGE 2.4,AMPERE3-RefPol,World,Emissions|CO2,Mt CO2/yr,34124.32,35746.98,40855.54,46771.34,48448.44,51487.30,48906.51,43724.96,40676.94,36602.42,32884.37
IMAGE 2.4,AMPERE3-RefPol,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,21.93,46.41,54.97,59.43,62.01,71.13,83.86,101.85
IMAGE 2.4,AMPERE3-RefPol,World,Primary Energy,EJ/yr,441.25,473.91,600.73,699.99,804.90,871.53,925.99,997.16,1054.42,1110.85,1166.97
IMAGE 2.4,AMPERE3-RefPol,World,Primary Energy|Coal,EJ/yr,111.62,138.69,174.83,195.40,202.72,198.87,195.17,227.89,293.07,373.46,462.00
IMAGE 2.4,AMPERE3-RefPol,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.22,0.99,2.42,6.92,22.26,67.78,137.19,211.06,292.60
IMAGE 2.4,AMPERE3-RefPol,World,Temperature|Global Mean|MAGICC6|MED,°C,0.88,0.93,1.14,1.42,1.72,2.02,2.31,2.58,2.84,3.07,3.27
IMAGE 2.4,EMF27-550-LimBio,ASIA,Emissions|CO2,Mt CO2/yr,9876.96,12317.63,15977.12,15978.17,13782.78,11363.91,8466.82,5300.11,4109.71,3089.31,2071.34
IMAGE 2.4,EMF27-550-LimBio,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9005.85,11840.19,15892.96,16042.63,14006.61,10981.75,8206.71,5742.29,4715.92,3637.76,3143.81
IMAGE 2.4,EMF27-550-LimBio,ASIA,Primary Energy,EJ/yr,124.97,158.78,210.87,232.27,265.68,280.51,302.73,322.02,353.54,373.11,380.50
IMAGE 2.4,EMF27-550-LimBio,LAM,Emissions|CO2,Mt CO2/yr,3041.94,4224.06,1007.75,2296.82,2065.26,1818.44,1455.57,847.61,470.72,361.52,114.99
IMAGE 2.4,EMF27-550-LimBio,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1591.95,1600.61,1932.33,2104.06,2109.02,1902.11,1750.96,1430.08,1205.88,1101.28,969.70
IMAGE 2.4,EMF27-550-LimBio,LAM,Primary Energy,EJ/yr,28.32,29.24,34.73,39.87,49.66,56.28,64.41,70.96,78.93,83.60,85.08
IMAGE 2.4,EMF27-550-LimBio,MAF,Emissions|CO2,Mt CO2/yr,5282.32,3489.70,5358.70,5747.01,3738.94,4233.17,4109.44,3306.26,3222.54,2377.13,1544.10
IMAGE 2.4,EMF27-550-LimBio,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2337.23,2647.89,3040.71,3307.77,3566.47,3430.65,3452.04,3160.40,2919.03,2468.67,2005.09
IMAGE 2.4,EMF27-550-LimBio,MAF,Primary Energy,EJ/yr,41.16,46.69,53.40,60.47,74.89,90.43,115.56,138.83,168.34,193.84,212.19
IMAGE 2.4,EMF27-550-LimBio,OECD90,Emissions|CO2,Mt CO2/yr,12429.84,11599.41,10663.21,8915.51,6826.21,4599.45,3255.11,1879.47,1509.92,948.43,861.04
IMAGE 2.4,EMF27-550-LimBio,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12666.48,12033.86,11096.64,9350.51,7053.95,4597.04,3141.83,1810.07,1453.40,1045.28,900.39
IMAGE 2.4,EMF27-550-LimBio,OECD90,Primary Energy,EJ/yr,194.63,183.99,180.88,172.48,171.98,167.21,165.82,163.52,164.84,162.49,156.15
IMAGE 2.4,EMF27-550-LimBio,REF,Emissions|CO2,Mt CO2/yr,3628.20,3963.54,4286.15,3530.15,2497.52,2180.21,2243.60,1974.13,1643.44,1420.29,1392.89
IMAGE 2.4,EMF27-550-LimBio,REF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,3561.09,3848.09,3944.30,3321.75,2355.16,1780.31,1488.20,1174.95,999.18,846.94,676.84
IMAGE 2.4,EMF27-550-LimBio,REF,Primary Energy,EJ/yr,52.17,55.47,57.61,51.94,47.67,45.36,44.25,42.71,42.46,40.46,39.34
IMAGE 2.4,EMF27-550-LimBio,World,Emissions|CO2,Mt CO2/yr,34259.27,35594.34,37292.93,36467.66,28910.72,24195.19,19530.54,13307.58,10956.33,8196.68,5984.36
IMAGE 2.4,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29162.60,31970.63,35906.95,34126.72,29091.21,22691.86,18039.74,13317.79,11293.41,9099.93,7695.83
IMAGE 2.4,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12827.82,14377.10,16493.37,15246.98,10437.35,5150.42,2033.36,826.67,1958.74,1081.38,252.96
IMAGE 2.4,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10624.05,12250.78,14339.66,13255.98,8443.08,3306.33,331.23,-530.35,956.12,350.71,-318.63
IMAGE 2.4,EMF27-550-LimBio,World,Price|Carbon,US$2005/t CO2,0.00,0.73,28.41,47.08,61.69,87.31,101.67,122.25,140.04,144.68,141.76
IMAGE 2.4,EMF27-550-LimBio,World,Primary Energy,EJ/yr,441.25,474.16,537.49,557.02,609.88,639.80,692.77,738.05,808.10,853.49,873.27
