model,scenario,region,variable,unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM-Enduse 12.1,EMF27-450-NoCCS,REF,Primary Energy,EJ/yr,48.54,52.61,51.38,52.89,56.45,58.10,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2,Mt CO2/yr,34492.05,38313.59,35588.85,28629.65,20458.10,13660.19,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.12,33502.62,31159.02,25037.70,18231.80,12743.99,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70,14569.92,11774.85,5682.15,3021.37,2507.97,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56,11838.83,9438.38,3554.33,1374.16,1314.03,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Price|Carbon,US$2005/t CO2,0.00,0.00,87.11,257.31,731.92,3680.57,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Primary Energy,EJ/yr,458.20,518.81,500.24,493.64,583.82,614.23,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Primary Energy|Coal,EJ/yr,122.98,148.41,130.06,45.95,24.32,21.17,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,ASIA,Emissions|CO2,Mt CO2/yr,10540.74,13160.11,14124.17,14218.08,13187.66,10019.56,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9126.18,11910.02,12973.12,13284.74,12609.18,9781.49,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,ASIA,Primary Energy,EJ/yr,133.56,168.74,187.98,208.68,237.50,252.90,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,LAM,Emissions|CO2,Mt CO2/yr,3285.00,3286.68,3445.63,3496.62,2986.08,1790.49,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1422.06,1640.34,1929.71,2267.44,2224.23,1476.96,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,LAM,Primary Energy,EJ/yr,27.40,31.35,35.91,44.04,49.72,60.09,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,MAF,Emissions|CO2,Mt CO2/yr,4302.21,4487.49,4368.48,4519.64,4294.83,2733.76,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2262.46,2684.91,2708.71,3173.80,3460.68,2390.47,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,MAF,Primary Energy,EJ/yr,42.68,50.12,51.84,62.54,78.22,94.12,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,OECD90,Emissions|CO2,Mt CO2/yr,12085.85,12744.16,12607.17,11752.01,9749.33,6501.31,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12000.81,12669.01,12537.97,11695.90,9714.55,6487.00,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,OECD90,Primary Energy,EJ/yr,193.12,202.28,196.71,202.04,193.83,185.32,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,REF,Emissions|CO2,Mt CO2/yr,3306.95,3604.39,3826.80,3615.47,3258.31,3076.27,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,REF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,3265.30,3567.58,3792.91,3587.99,3241.28,3069.26,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,REF,Primary Energy,EJ/yr,48.54,52.61,56.42,58.99,64.32,71.71,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,World,Emissions|CO2,Mt CO2/yr,34492.05,38313.59,39531.61,38815.54,34676.38,25295.31,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.12,33502.62,35101.78,35223.59,32450.08,24379.10,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70,14569.92,14628.36,12869.87,10647.96,3086.19,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56,11838.83,12163.13,10602.54,8391.52,1223.97,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,World,Price|Carbon,US$2005/t CO2,0.00,0.00,5.09,56.67,136.88,247.01,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,World,Primary Energy,EJ/yr,458.20,518.81,544.28,592.53,639.70,679.98,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,World,Primary Energy|Coal,EJ/yr,122.98,148.41,168.46,180.77,164.38,94.42,,,,,
AIM-Enduse 12.1,EMF27-550-LimBio,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.00,21.10,46.25,68.42,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,ASIA,Emissions|CO2,Mt CO2/yr,10540.74,13160.11,14149.89,16559.14,19658.68,23071.34,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9126.18,11910.02,12998.84,15625.80,19080.19,22833.27,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,ASIA,Primary Energy,EJ/yr,133.56,168.74,188.32,227.21,275.41,326.92,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,LAM,Emissions|CO2,Mt CO2/yr,3285.00,3286.68,3449.84,3660.68,3850.44,3866.20,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1422.06,1640.34,1933.93,2431.49,3088.58,3552.67,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,LAM,Primary Energy,EJ/yr,27.40,31.35,35.98,44.78,55.52,64.47,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,MAF,Emissions|CO2,Mt CO2/yr,4302.21,4487.49,4371.98,4751.63,5389.48,6082.37,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2262.46,2684.91,2712.20,3405.79,4555.32,5739.09,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,MAF,Primary Energy,EJ/yr,42.68,50.12,51.85,64.44,84.12,105.05,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,OECD90,Emissions|CO2,Mt CO2/yr,12085.85,12744.16,12642.70,13332.29,13742.93,14150.35,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12000.81,12669.01,12573.50,13276.18,13708.16,14136.03,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,OECD90,Primary Energy,EJ/yr,193.12,202.28,197.10,203.56,208.76,215.23,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,REF,Emissions|CO2,Mt CO2/yr,3306.95,3604.39,3838.82,4220.97,4866.31,5615.39,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,REF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,3265.30,3567.58,3804.92,4193.48,4849.28,5608.38,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,REF,Primary Energy,EJ/yr,48.54,52.61,56.56,61.95,70.94,81.42,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Emissions|CO2,Mt CO2/yr,34492.05,38313.59,39612.60,43835.49,49027.80,54552.86,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.12,33502.62,35182.77,40243.54,46801.50,53636.66,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70,14569.92,14676.46,16187.91,18347.82,20631.89,,,,,
